Attraction Name,prices
Louvre Museum,175
Eiffel Tower,582
Seine River,77
Arc de Triomphe de l’Etoile,102
Cathédrale Notre-Dame de Paris,0
Palace of Versailles,149
Avenue des Champs-élysées,0
Place de la Concorde,0
Palais Garnier,117
The Basilica of Sacré-Cur de Montmartre,0
Fontainebleau Palace,109
